,order_id,plu_id,plu_hierarchy_lvl_2_desc,plu_hierarchy_lvl_3_desc
1326100,780137584,3684254,Детское питание (Food),"Детские соки, чай, вода"
1400361,775010966,32529,"Соки, воды, пиво",Вода
16618,664365178,4125461,Мясная гастрономия,Колбасные изделия
999470,709216950,4254388,Кондитерские изделия (Food),Шоколадные пасты
226177,664022736,47642,Овощи - Фрукты,Фрукты/Экзотика
1678305,749555580,3468689,Бакалея (Food),"Сухие завтраки, мюсли"
1508611,736166519,4118761,Корма для животных,Корма для кошек
128175,654627756,3667232,Бакалея (Food),Крупы и зерновые
1836539,856540081,3641571,Молочная гастрономия,Традиц.кислом.прод-ия
302853,674197537,31893,Овощи - Фрукты,Овощи/Зелень
611617,710020110,3934933,Бакалея (Food),Крупы и зерновые
701619,714175833,4132873,"Хлеб, хлебобулочные изделия (Food)",Бараночные изделия
2341314,865198422,3439566,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
284510,654899278,809,Овощи - Фрукты,Фрукты/Ягоды
1848929,838269681,4288209,Бакалея (Food),Специи
572593,697912036,64128,Бакалея (Food),Масло растительное
717248,726266180,3639626,Мясная гастрономия,Колбасные изделия
794573,698855307,3373718,"Соки, воды, пиво",Вода
2088108,807745823,4306878,Птица и изделия из птицы,Птица и П/Ф охлажденые
470785,649602430,3613271,Бакалея (Food),Сухие компоненты и смеси (Food)
1479958,776018107,4252812,Корма для животных,Корма для кошек
1394599,766093750,3625266,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
654785,708350508,4121613,Молочная гастрономия,Традиц.кислом.прод-ия
1473765,739914124,3341914,Овощи - Фрукты,Овощи/Зелень
169225,649619766,4264579,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
446103,670698798,3619732,Мясо и мясные изделия,Мясо и П/Ф охлажденые
1134594,712630143,3407477,Молочная гастрономия,Традиц.кислом.прод-ия
96859,670716509,4288277,Бакалея (Food),Сухофрукты
1215319,723108218,3423233,Замороженные продукты,Мороженое
1731634,873912637,809,Овощи - Фрукты,Фрукты/Ягоды
696858,722833203,3369506,Сопутствующие товары (Food),Хозяйственные принадлежности
1301960,744095297,3612778,Молочная гастрономия,Масложировые продукты
441140,655324930,3388814,Молочная гастрономия,Сыры
656967,715833590,3449118,Сопутствующие товары (Food),Целлюлозная и ватная продукция
525788,643232763,4227629,Молочная гастрономия,Соврем.кислом.прод-ия
2145419,902426010,2126653,Кондитерские изделия (Food),Вафли
244165,644116389,4216695,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
2038688,805132184,4295516,Сопутствующие товары (Food),"Моющие,чистящие средства"
331381,657269851,3357380,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
1973084,868509447,4376446,Кондитерские изделия (Food),"Шоколад, батончики"
1509540,777098179,4243884,Птица и изделия из птицы,Птица и П/Ф охлажденые
1457543,773751740,3262366,Бакалея (Food),Уксус
212481,655932262,33080,Кондитерские изделия (Food),Чипсы
174553,654829418,3634514,Мясная гастрономия,Деликатесы
772654,725923132,3335498,Молочная гастрономия,Сыры
1188128,718335055,4332026,Кондитерские изделия (Food),"Кексы, рулеты"
469740,642706053,2149542,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
2146279,840750722,4344431,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
805532,725659157,2139003,Овощи - Фрукты,Овощи/Зелень
736542,715700389,2110594,Бакалея (Food),Макаронные изделия
2043729,873926620,2138999,Овощи - Фрукты,Овощи/Зелень
2382310,858989315,3449118,Сопутствующие товары (Food),Целлюлозная и ватная продукция
1589730,748300569,4308289,Диабетическое питание,Кондитерка диабетическая
1514848,762516195,45105,Бакалея (Food),Макаронные изделия
1252582,763278010,50911,Овощи - Фрукты,Фрукты/Экзотика
2326984,812518167,3332809,Молочная гастрономия,Масложировые продукты
315752,675847585,3062836,Молочная гастрономия,Яйцо
1318645,752715506,12834,Молочная гастрономия,Соврем.кислом.прод-ия
813099,716891807,3190693,"Соки, воды, пиво","Соки, нектары"
726290,726115077,3043871,Овощи - Фрукты,Овощи/Зелень
701334,733628525,4221768,Овощи - Фрукты,Овощи/Грибы
2268025,862275936,4175216,Мясная гастрономия,Колбасные изделия
1063957,683951275,2085981,Молочная гастрономия,Молоко
1863832,882502918,4257872,Мясная гастрономия,Деликатесы
434605,656783962,79032,Овощи - Фрукты,Фрукты/Ягоды
783574,703174804,3639615,Мясная гастрономия,Колбасные изделия
1382728,783067627,3219401,Бакалея (Food),Макаронные изделия
705710,717021443,53480,Овощи - Фрукты,Овощи/Зелень
88263,667391887,3284334,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
1578281,758042942,3956853,Сопутствующие товары (Food),"Моющие,чистящие средства"
1992548,882089510,3489557,Мясная гастрономия,Колбасные изделия
2117409,885629589,2138999,Овощи - Фрукты,Овощи/Зелень
406360,669284929,4007886,Бакалея (Food),Продукция быстрого приготовления
1603931,737988793,3501014,Детское питание (Food),Детские консервированные смеси
1045408,709850439,3357066,Овощи - Фрукты,Овощи/Грибы
395010,646975680,4122161,Кондитерские изделия (Food),"Печенье, крекер"
2044374,881567818,4135159,Мясная гастрономия,Колбасные изделия
68100,647248328,4255754,"Соки, воды, пиво","Напитки, квас, тоник"
2343216,807820984,4215524,Замороженные продукты,Мороженое
385119,647731848,55839,"Хлеб, хлебобулочные изделия (Food)",Бараночные изделия
374898,644096834,2073280,Птица и изделия из птицы,Птица и П/Ф охлажденые
1995,664903341,3021692,Овощи - Фрукты,Фрукты/Ягоды
