,plu_id,plu_hierarchy_lvl_2_desc,plu_width_amt,plu_depth_amt,plu_height_amt,Квант
0,4303297.0,"Готовая кулинария, салаты",13.7,18.7,5.5,
1,4264267.0,Молочная гастрономия,9.4,9.4,4.3,
2,3939998.0,Детское питание (Food),6.1,6.1,9.7,
3,4007767.0,Бакалея (Food),14.0,5.0,20.0,24.0
4,4312443.0,Мясо и мясные изделия,17.8,22.7,3.5,
5,3219404.0,Бакалея (Food),15.0,4.0,21.0,20.0
6,3626352.0,"Соки, воды, пиво",8.0,8.0,28.0,12.0
7,4249279.0,Молочная гастрономия,13.5,9.5,15.0,
8,4291005.0,Молочная гастрономия,7.0,7.0,14.5,
9,4293357.0,Замороженные продукты,9.5,9.5,8.0,
10,4342799.0,Сопутствующие товары (Food),4.6,7.4,24.5,6.0
11,3622213.0,Сопутствующие товары (Food),5.3,5.3,20.0,6.0
12,3479534.0,Сопутствующие товары (Food),4.5,4.5,18.5,6.0
13,44831.0,Молочная гастрономия,5.3,5.0,9.3,18.0
14,3976585.0,Детское питание (Food),17.0,5.5,22.5,
15,4326816.0,Мясная гастрономия,3.5,22.5,3.5,8.0
16,31777.0,Бакалея (Food),17.2,5.2,10.5,
17,3506194.0,"Хлеб, хлебобулочные изделия (Food)",15.0,7.0,30.0,2.0
18,4268402.0,Бакалея (Food),8.1,8.1,9.7,
19,3904788.0,Бакалея (Food),13.0,2.0,18.0,
20,4261575.0,Мясная гастрономия,11.0,12.0,3.0,
21,3991890.0,Бакалея (Food),12.8,4.0,19.0,
22,4217210.0,Бакалея (Food),12.7,4.0,20.5,
23,3201611.0,Кондитерские изделия (Food),12.5,5.5,24.5,15.0
24,3497593.0,"Хлеб, хлебобулочные изделия (Food)",12.0,6.5,11.0,20.0
25,4061847.0,Мясо и мясные изделия,19.0,14.4,3.5,
26,4280852.0,Мясная гастрономия,12.8,18.6,1.5,10.0
27,3353480.0,Сопутствующие товары (Food),9.5,2.5,12.0,
28,4057201.0,Корма для животных,13.0,5.0,20.0,
29,20063.0,Бакалея (Food),8.5,8.5,8.5,12.0
30,3340109.0,Бакалея (Food),0.0,0.0,0.0,
31,4002307.0,"Хлеб, хлебобулочные изделия (Food)",11.0,16.0,3.0,
32,4363300.0,"Соки, воды, пиво",5.7,5.7,20.0,
33,3641572.0,Молочная гастрономия,9.5,9.5,10.7,
34,4074015.0,Бакалея (Food),7.7,6.6,15.6,10.0
35,4275052.0,Бакалея (Food),11.5,2.0,16.5,
36,4198246.0,Бакалея (Food),14.5,11.0,30.0,
37,4228123.0,Сопутствующие товары (Food),10.0,6.3,16.3,
38,4172502.0,Бакалея (Food),13.0,4.0,20.0,
39,2055233.0,Одежда,12.0,1.0,24.0,
40,78010258.0,Хлеб СП,13.0,13.0,1.5,
41,3190232.0,Бакалея (Food),9.0,1.5,13.0,
42,3442641.0,Бакалея (Food),16.5,5.0,7.0,
43,4292846.0,Бакалея (Food),9.0,9.0,12.0,
44,4275061.0,Бакалея (Food),6.5,0.4,9.5,
45,4278736.0,Кондитерские изделия (Food),15.0,4.0,18.0,8.0
46,4108865.0,Замороженные продукты,19.0,3.0,19.0,
47,3167691.0,Кондитерские изделия (Food),21.0,5.0,21.0,
48,4324027.0,Бакалея (Food),11.0,8.0,19.0,
49,4050483.0,Мясо и мясные изделия,18.0,23.0,6.0,4.0
50,3636044.0,Бакалея (Food),9.0,5.0,17.0,
51,3632860.0,Кондитерские изделия (Food),11.0,3.2,24.0,20.0
52,4243101.0,Сопутствующие товары (Food),7.4,4.7,21.8,
53,4298329.0,Кондитерские изделия (Food),24.2,36.2,17.4,
54,3406445.0,Сопутствующие товары (Food),7.5,7.5,2.5,
55,4218905.0,Рыбная гастрономия,6.9,6.9,6.0,
56,4312467.0,Бакалея (Food),9.5,2.0,14.0,24.0
