main_item,main_item_volume,neighbor_item,neighbor_volume,concurrence
3690271,3519.75,3219581,0.0,6.802721088435374
3690271,3519.75,3645237,600.0,0.0
3690271,3519.75,4067246,7803.0,0.0
3690271,3519.75,3200674,4276.8,0.0
3690271,3519.75,82765,25025.0,0.0
3934933,5836.8,58314,5100.0,0.0
3934933,5836.8,3353131,2341.344,0.0
3934933,5836.8,3219642,0.0,0.0
3934933,5836.8,3412708,5056.128,0.0
3934933,5836.8,4118902,8550.0,0.0
4302947,52.5,4245104,999.141,6.802721088435374
4302947,52.5,3639626,3360.0,0.0
4302947,52.5,4288209,2184.0,0.0
4302947,52.5,4054823,12000.0,0.0
4302947,52.5,3441724,24871.0,0.0
3612778,200.60000000000002,4037654,18480.960000000003,0.0
3612778,200.60000000000002,3653572,5600.0,0.0
3612778,200.60000000000002,3601418,2707.5,0.0
3612778,200.60000000000002,4216819,12825.0,0.0
3612778,200.60000000000002,4306878,5221.4400000000005,0.0
4102653,336.0,4261976,5244.75,0.0
4102653,336.0,3225815,22990.0,0.0
4102653,336.0,4191429,4654.7119999999995,0.0
4102653,336.0,4198172,5707.52,0.0
4102653,336.0,4262697,7339.32,0.0
3662341,5346.0,3501014,1512.0,0.0
3662341,5346.0,4274973,10404.0,0.0
3662341,5346.0,3641571,1536.0,0.0
3662341,5346.0,4118761,212.8,0.0
3662341,5346.0,4194675,450.0,0.0
3923407,4000.0,25156,3985.44,0.0
3923407,4000.0,3284334,1386.0,0.0
3923407,4000.0,4132873,472.79999999999995,0.0
3923407,4000.0,3439566,18750.0,0.0
3923407,4000.0,3613271,31.319999999999997,0.0
4175216,9548.0,4308289,3600.0,0.0
4175216,9548.0,3682422,1346.7,0.0
4175216,9548.0,4292794,1605.5,0.0
4175216,9548.0,18509,4422.6,0.0
4175216,9548.0,3950922,24990.0,0.0
4044854,13214.880000000001,3674200,11856.0,0.0
4044854,13214.880000000001,4262920,4559.376,0.0
4044854,13214.880000000001,3366852,2418.0,0.0
4044854,13214.880000000001,98225,1800.0,0.0
4044854,13214.880000000001,3283073,2700.0,0.0
4264678,5200.0,4286889,189.00000000000003,0.0
4264678,5200.0,3977655,240.0,0.0
4264678,5200.0,4264268,379.94800000000004,0.0
4264678,5200.0,88808,4004.0,0.0
4264678,5200.0,4252812,133.0,0.0
4138521,782.3199999999999,4204100,10500.0,0.0
4138521,782.3199999999999,4135159,504.0,0.0
4138521,782.3199999999999,4072852,6566.400000000001,0.0
4138521,782.3199999999999,4344431,1568.0,0.0
4138521,782.3199999999999,4351339,8208.0,0.0
3404094,0.0,2070399,28853.550000000003,0.0
3404094,0.0,4323051,2092.5,0.0
3404094,0.0,2046261,21626.880000000005,0.0
3404094,0.0,4007886,576.0,0.0
3404094,0.0,3463779,777.6000000000001,0.0
4332026,34368.75,3634514,684.0,0.0
4332026,34368.75,3637167,6750.0,0.0
4332026,34368.75,3469277,6248.0,0.0
4332026,34368.75,3926815,1078.0,0.0
4332026,34368.75,3293011,1125.0,0.0
33080,820.0,3262366,605.0,0.0
33080,820.0,4288090,36000.0,0.0
33080,820.0,4201226,13275.0,0.0
33080,820.0,4230669,5520.0,0.0
33080,820.0,3491498,64.8,0.0
4254388,297.6,4354543,4264.96,0.0
4254388,297.6,4135133,5958.400000000001,0.0
4254388,297.6,3630970,1536.0,0.0
4254388,297.6,4298876,120.175,0.0
4254388,297.6,4371112,9990.0,0.0
32529,9126.0,12834,282.09999999999997,0.0
32529,9126.0,4121592,1037.875,0.0
32529,9126.0,3632838,15840.0,0.0
32529,9126.0,4109510,88.655,0.0
32529,9126.0,3964986,12672.0,0.0
2013077,1578.5,3683337,9644.67,0.0
2013077,1578.5,4159720,2540.16,0.0
2013077,1578.5,3671633,7148.400000000001,0.0
2013077,1578.5,4135604,8166.4,0.0
2013077,1578.5,3626623,433.2,0.0
3632860,16896.0,2046792,21544.800000000003,0.0
3632860,16896.0,4066122,10250.832000000002,0.0
3632860,16896.0,2086159,6210.0,0.0
3632860,16896.0,85038,708.928,0.0
3632860,16896.0,4055499,459.47200000000004,0.0
3986839,3920.0,3489557,686.0,0.0
3986839,3920.0,4204116,10500.0,0.0
3986839,3920.0,3446505,29568.0,0.0
3986839,3920.0,4217906,5415.0,0.0
3986839,3920.0,3939083,542.5,0.0
4227629,3234.0,3369506,46618.125,0.0
4227629,3234.0,4340181,957.6,0.0
4227629,3234.0,4196736,1216.0,0.0
4227629,3234.0,4085972,203.112,0.0
4227629,3234.0,4090362,310.8,0.0
3385815,530.4,4087402,371.90700000000004,0.0
3385815,530.4,91304,17388.0,0.0
3385815,530.4,3931836,8001.504000000001,0.0
3385815,530.4,3475329,4957.686,0.0
3385815,530.4,4172484,3669.66,0.0
3472642,6552.0,4267624,1640.0,0.0
3472642,6552.0,4315389,5853.36,0.0
3472642,6552.0,3431900,7653.800000000001,0.0
3472642,6552.0,3507134,397.375,0.0
3472642,6552.0,2147891,26460.0,0.0
4289175,922.284,88781,3850.0,0.0
4289175,922.284,3425200,2612.25,0.0
4289175,922.284,3672062,87.5,0.0
4289175,922.284,4261904,5331.312,0.0
4289175,922.284,4158389,617.5,0.0
3199747,1113.21,86385,390.0,0.0
3199747,1113.21,4287273,952.512,0.0
3199747,1113.21,3369648,540.0,0.0
3199747,1113.21,4251171,388.416,0.0
3199747,1113.21,4315309,1905.024,0.0
4287276,688.9889999999999,4223899,1701.5830000000003,0.0
4287276,688.9889999999999,4312550,6160.0,0.0
4287276,688.9889999999999,3928499,2077.65,0.0
4287276,688.9889999999999,4345321,433.2,0.0
4287276,688.9889999999999,4055336,10750.0,0.0
3495120,1553.6639999999998,4116551,703.125,0.0
3495120,1553.6639999999998,3498077,5120.0,0.0
3495120,1553.6639999999998,75638,7500.0,0.0
